date,Ayam Potong (A.P),Ayam Kampung (A.K),Ayam Tua (A.T),dow,is_weekend,is_closed,close_reason,is_event,pre_event_peak,restock_flag
2024-08-02,20.8,8.93,3.66,4,0,0,,0,0,0
2024-08-03,27.12,11.91,3.63,5,1,0,,0,0,0
2024-08-04,28.48,12.14,3.57,6,1,0,,0,0,0
2024-08-05,25.68,10.11,3.54,0,0,0,,0,0,0
2024-08-06,22.32,11.78,3.31,1,0,0,,0,0,0
2024-08-07,27.92,12.67,3.46,2,0,0,,0,0,0
2024-08-08,27.2,12.74,3.66,3,0,0,,0,0,0
2024-08-09,24.24,11.71,3.2,4,0,0,,0,0,0
2024-08-10,23.12,9.21,3.14,5,1,0,,0,0,0
2024-08-11,30.0,10.39,3.26,6,1,0,,0,0,0
2024-08-12,24.48,12.27,3.37,0,0,0,,0,0,0
2024-08-13,26.24,9.27,3.57,1,0,0,,0,0,0
2024-08-14,26.24,8.46,3.49,2,0,0,,0,0,0
2024-08-15,24.64,10.39,3.2,3,0,0,,0,0,0
2024-08-16,23.12,10.11,3.49,4,0,0,,0,0,0
2024-08-17,0.0,0.0,0.0,5,1,1,Kemerdekaan,1,0,0
2024-08-18,22.48,9.21,3.37,6,1,0,,0,0,0
2024-08-19,27.68,7.89,3.6,0,0,0,,0,0,0
2024-08-20,24.48,10.18,3.37,1,0,0,,0,0,0
2024-08-21,23.84,11.0,3.31,2,0,0,,0,0,0
2024-08-22,21.84,8.46,3.54,3,0,0,,0,0,0
2024-08-23,26.72,10.11,3.49,4,0,0,,0,0,0
2024-08-24,22.8,7.64,3.54,5,1,0,,0,0,0
2024-08-25,23.12,10.11,3.29,6,1,0,,0,0,0
2024-08-26,25.92,7.01,3.23,0,0,0,,0,0,0
2024-08-27,200.0,8.46,3.17,1,0,0,,0,1,1
2024-08-28,26.16,13.12,3.26,2,0,0,,0,0,0
2024-08-29,25.92,10.32,3.49,3,0,0,,0,0,0
2024-08-30,24.48,8.59,3.12,4,0,0,,0,0,0
2024-08-31,25.12,11.0,3.34,5,1,0,,0,0,0
2024-09-01,22.64,12.47,3.6,6,1,0,,0,0,0
2024-09-02,25.92,8.46,3.37,0,0,0,,0,0,0
2024-09-03,0.0,0.0,0.0,1,0,1,Sakit,0,0,0
2024-09-04,0.0,0.0,0.0,2,0,1,Sakit,0,0,0
