date,Ayam Potong (A.P),Ayam Kampung (A.K),Ayam Tua (A.T)
8/28/2024,15.1,9.3,4.9
8/29/2024,13,9,7.6
8/30/2024,31.4,0,0.5
8/31/2024,17.7,7.9,7.9
9/1/2024,16.9,1.2,1.6
9/2/2024,18.4,3.5,6.7
9/3/2024,0,0,0
9/4/2024,0,0,0
9/5/2024,0,0,0
9/6/2024,17.6,4.7,8
9/7/2024,19.9,5.5,2.8
9/8/2024,33.5,17.7,0
9/9/2024,8.1,21.9,5.9
9/10/2024,18.3,2.5,0
9/11/2024,9.5,0,2.5
9/12/2024,25.3,5.6,2.5
9/13/2024,30,6.5,9
9/14/2024,32,7.4,0
9/15/2024,27.5,1.2,0
9/16/2024,15.5,6.6,0
9/17/2024,18.8,5.4,6.8
9/18/2024,18,7.5,11.6
9/19/2024,17.1,10.8,0
9/20/2024,8.7,2.7,10.9
9/21/2024,11.3,2.6,10.9
9/22/2024,29.7,11,0
9/23/2024,25.7,6.3,5
9/24/2024,14.9,5.5,2.8
9/25/2024,11.8,12.9,4.7
9/26/2024,15.8,7.9,9.1
9/27/2024,23.3,11.2,0
9/28/2024,34.7,6.3,0
9/29/2024,15.9,2.1,6.8
9/30/2024,33.5,5.1,7.1
10/1/2024,16,15.5,1.4
10/2/2024,16.1,8.7,3.7
10/3/2024,18,9.3,0
10/4/2024,13.7,8.2,2.9
10/5/2024,10.8,11.1,9.4
10/6/2024,26.7,7,7.5
10/7/2024,9.2,3.9,5.6
10/8/2024,17.2,7.6,0
10/9/2024,27.2,17.9,0
10/10/2024,30.8,9.5,0.7
10/11/2024,9.7,12.3,3.5
10/12/2024,8.2,11.5,3.2
10/13/2024,15,19.6,4.6
10/14/2024,20.3,10.8,0
10/15/2024,16.7,6.8,4.1
10/16/2024,10.4,20.5,1.2
10/17/2024,9.7,5.7,5.7
10/18/2024,15.7,13,7.7
10/19/2024,12,11.4,0
10/20/2024,21.9,15.9,3.7
10/21/2024,13.5,5.6,4.2
10/22/2024,13.2,7.6,10.4
10/23/2024,11,3.2,0
10/24/2024,20.8,2.1,8.4
10/25/2024,20.1,9.6,3
10/26/2024,15.6,12.8,2.3
10/27/2024,13,17.7,2.8
10/28/2024,11.3,12.6,12.8
10/29/2024,150,20,10
10/30/2024,19.7,4.7,6.6
10/31/2024,20.7,1.1,5.8
11/1/2024,22.5,7,6.2
11/2/2024,26.3,6.9,2.7
11/3/2024,33.1,1.8,5.5
11/4/2024,17.8,11.3,0
11/5/2024,18.5,10.5,1.5
11/6/2024,24.8,4.3,5.6
11/7/2024,25.6,11.2,8.6
11/8/2024,19.2,3.3,9.3
11/9/2024,10.3,7,0.6
11/10/2024,16.3,7,7.6
11/11/2024,9.7,2.4,5
11/12/2024,12.9,12.3,0.5
11/13/2024,29.2,3.6,3.5
11/14/2024,19.4,4.7,10.5
11/15/2024,23.6,4.7,0
11/16/2024,14.9,16.1,6.7
11/17/2024,29.7,8.1,3.9
11/18/2024,31,0,3.6
11/19/2024,34.7,8.4,1.4
11/20/2024,26.2,7.3,2.5
11/21/2024,8.3,21.6,0
11/22/2024,0,0,0
11/23/2024,19.6,11.9,6.2
11/24/2024,10.7,13.8,1.6
11/25/2024,15.2,7.2,8.9
11/26/2024,18.7,15.1,3.1
11/27/2024,27.4,12.3,9.6
11/28/2024,8.3,12.3,3.1
11/29/2024,23.4,9,9.9
11/30/2024,15.4,0.8,6.4
12/1/2024,23.9,11,2.6
12/2/2024,14,8.5,9.7
12/3/2024,18.9,10.5,4
12/4/2024,17.8,11.8,0
12/5/2024,20.9,2.3,3.7
12/6/2024,18.5,9.6,4.8
12/7/2024,16.2,13.8,2.3
12/8/2024,6,5.4,12.3
12/9/2024,18.7,3.7,4
12/10/2024,20,4.4,6.7
12/11/2024,11.3,12.8,13.9
12/12/2024,18.5,3.1,8.5
12/13/2024,16.2,15,7.1
12/14/2024,23.5,2.1,3
12/15/2024,19.8,0.6,9.9
12/16/2024,25.2,0,3
12/17/2024,18.4,7.9,9.9
12/18/2024,25.9,11.9,8.8
12/19/2024,28,3.1,2.2
12/20/2024,26.2,11.5,3.2
12/21/2024,27.7,10.4,0
12/22/2024,24.9,13.2,6.9
12/23/2024,24.3,6.5,7.1
12/24/2024,38,23.55,4.9
12/25/2024,24.8,4.5,8.6
12/26/2024,21.1,8.1,2
12/27/2024,14.7,19.1,8.7
12/28/2024,20.4,14,10
12/29/2024,21.8,17.05,12.7
12/30/2024,25.45,12.7,12.7
12/31/2024,24.95,31.55,0
