date,sales,is_closed,dow,is_weekend,is_event,pre_event_peak,restock_flag
5/24/2024,2.91,0,4,0,0,0,0
5/25/2024,18.61,0,5,1,0,0,0
5/26/2024,1.48,0,6,1,0,0,0
5/27/2024,8.45,0,0,0,0,0,0
5/28/2024,1.73,0,1,0,0,0,0
5/29/2024,8.59,0,2,0,0,0,0
5/30/2024,16.49,0,3,0,0,0,0
5/31/2024,16.62,0,4,0,0,0,0
6/1/2024,14.02,0,5,1,0,0,0
6/2/2024,9.19,0,6,1,0,0,0
6/3/2024,2.48,0,0,0,0,0,0
6/4/2024,4.56,0,1,0,0,0,0
6/5/2024,0,0,2,0,0,1,1
6/6/2024,8.8,0,3,0,0,0,0
6/7/2024,2.5,0,4,0,0,0,0
6/8/2024,4.42,0,5,1,0,0,0
6/9/2024,2.85,0,6,1,0,0,0
6/10/2024,2.91,0,0,0,0,0,0
6/11/2024,0,0,1,0,0,0,0
6/12/2024,26.89,0,2,0,0,0,0
6/13/2024,2.58,0,3,0,0,0,0
6/14/2024,3.83,0,4,0,0,0,0
6/15/2024,8.85,0,5,1,0,0,0
6/16/2024,16.28,0,6,1,0,0,0
6/17/2024,0,1,0,0,1,0,0
6/18/2024,7.84,0,1,0,0,0,0
6/19/2024,0,0,2,0,0,0,0
6/20/2024,0,0,3,0,0,0,0
6/21/2024,6.22,0,4,0,0,0,0
6/22/2024,8.21,0,5,1,0,0,0
6/23/2024,9.54,0,6,1,0,0,0
6/24/2024,8.47,0,0,0,0,0,0
6/25/2024,5.56,0,1,0,0,0,0
6/26/2024,0,0,2,0,0,0,0
6/27/2024,2.52,0,3,0,0,0,0
6/28/2024,0,0,4,0,0,0,0
6/29/2024,9.71,0,5,1,0,0,0
6/30/2024,19.39,0,6,1,0,0,0
7/1/2024,2.6,0,0,0,0,0,0
7/2/2024,9.7,0,1,0,0,0,0
7/3/2024,6.8,0,2,0,0,0,0
7/4/2024,4.2,0,3,0,0,0,0
7/5/2024,3.3,0,4,0,0,0,0
7/6/2024,4.8,0,5,1,0,0,0
7/7/2024,2,0,6,1,0,0,0
7/8/2024,12.8,0,0,0,0,0,0
7/9/2024,1.8,0,1,0,0,0,0
7/10/2024,11.8,0,2,0,0,0,0
7/11/2024,0,0,3,0,0,0,0
7/12/2024,6.6,0,4,0,0,0,0
7/13/2024,12.2,0,5,1,0,0,0
7/14/2024,0,0,6,1,0,0,0
7/15/2024,0,1,0,0,0,0,0
7/16/2024,0,1,1,0,0,0,0
7/17/2024,9.8,0,2,0,0,0,0
7/18/2024,4.8,0,3,0,0,0,0
7/19/2024,8.3,0,4,0,0,0,0
7/20/2024,4.3,0,5,1,0,0,0
7/21/2024,0,0,6,1,0,0,0
7/22/2024,9.6,0,0,0,0,0,0
7/23/2024,2.4,0,1,0,0,0,0
7/24/2024,9.2,0,2,0,0,0,0
7/25/2024,4.8,0,3,0,0,0,0
7/26/2024,6.9,0,4,0,0,0,0
7/27/2024,0,0,5,1,0,0,0
7/28/2024,0.8,0,6,1,0,0,0
7/29/2024,2.1,0,0,0,0,0,0
7/30/2024,0,0,1,0,0,0,0
7/31/2024,3.7,0,2,0,0,0,0
8/1/2024,7.3,0,3,0,0,0,0
8/2/2024,0,0,4,0,0,0,0
8/3/2024,4,0,5,1,0,0,0
8/4/2024,4.1,0,6,1,0,0,0
8/5/2024,6.9,0,0,0,0,0,0
8/6/2024,5.7,0,1,0,0,0,0
8/7/2024,4.8,0,2,0,0,0,0
8/8/2024,7.3,0,3,0,0,0,0
8/9/2024,8.7,0,4,0,0,0,0
8/10/2024,0,0,5,1,0,0,0
8/11/2024,0,0,6,1,0,0,0
8/12/2024,0.5,0,0,0,0,0,0
8/13/2024,6,0,1,0,0,0,0
8/14/2024,2.9,0,2,0,0,0,0
8/15/2024,17.9,0,3,0,0,0,0
8/16/2024,12.6,0,4,0,0,0,0
8/17/2024,0,1,5,1,1,0,0
8/18/2024,9.5,0,6,1,0,0,0
8/19/2024,14.2,0,0,0,0,0,0
8/20/2024,5,0,1,0,0,0,0
8/21/2024,4.7,0,2,0,0,0,0
8/22/2024,2.4,0,3,0,0,0,0
8/23/2024,4.8,0,4,0,0,0,0
8/24/2024,3.3,0,5,1,0,0,0
8/25/2024,6.5,0,6,1,0,0,0
8/26/2024,6.7,0,0,0,0,0,0
8/27/2024,0,0,1,0,0,1,1
8/28/2024,4.9,0,2,0,0,0,0
8/29/2024,7.6,0,3,0,0,0,0
8/30/2024,0.5,0,4,0,0,0,0
8/31/2024,7.9,0,5,1,0,0,0
9/1/2024,1.6,0,6,1,0,0,0
9/2/2024,6.7,0,0,0,0,0,0
9/3/2024,0,1,1,0,0,0,0
9/4/2024,0,1,2,0,0,0,0
9/5/2024,0,1,3,0,0,0,0
9/6/2024,8,0,4,0,0,0,0
9/7/2024,2.8,0,5,1,0,0,0
9/8/2024,0,0,6,1,0,0,0
9/9/2024,5.9,0,0,0,0,0,0
9/10/2024,0,0,1,0,0,0,0
9/11/2024,2.5,0,2,0,0,0,0
9/12/2024,2.5,0,3,0,0,0,0
9/13/2024,9,0,4,0,0,0,0
9/14/2024,0,0,5,1,0,0,0
9/15/2024,0,0,6,1,0,0,0
9/16/2024,0,0,0,0,0,0,0
9/17/2024,6.8,0,1,0,0,0,0
9/18/2024,11.6,0,2,0,0,0,0
9/19/2024,0,0,3,0,0,0,0
9/20/2024,10.9,0,4,0,0,0,0
9/21/2024,10.9,0,5,1,0,0,0
9/22/2024,0,0,6,1,0,0,0
9/23/2024,5,0,0,0,0,0,0
9/24/2024,2.8,0,1,0,0,0,0
9/25/2024,4.7,0,2,0,0,0,0
9/26/2024,9.1,0,3,0,0,0,0
9/27/2024,0,0,4,0,0,0,0
9/28/2024,0,0,5,1,0,0,0
9/29/2024,6.8,0,6,1,0,0,0
9/30/2024,7.1,0,0,0,0,0,0
10/1/2024,1.4,0,1,0,0,0,0
10/2/2024,3.7,0,2,0,0,0,0
10/3/2024,0,0,3,0,0,0,0
10/4/2024,2.9,0,4,0,0,0,0
