date,sales,is_closed,dow,is_weekend,is_event,pre_event_peak,restock_flag
2024-07-27,27.36,0,5,1,0,0,0
2024-07-28,23.84,0,6,1,0,0,0
2024-07-29,26.08,0,0,0,0,0,0
2024-07-30,23.92,0,1,0,0,0,0
2024-07-31,26.08,0,2,0,0,0,0
2024-08-01,22.88,0,3,0,0,0,0
2024-08-02,20.8,0,4,0,0,0,0
2024-08-03,27.12,0,5,1,0,0,0
2024-08-04,28.48,0,6,1,0,0,0
2024-08-05,25.68,0,0,0,0,0,0
2024-08-06,22.32,0,1,0,0,0,0
2024-08-07,27.92,0,2,0,0,0,0
2024-08-08,27.2,0,3,0,0,0,0
2024-08-09,24.24,0,4,0,0,0,0
2024-08-10,23.12,0,5,1,0,0,0
2024-08-11,30.0,0,6,1,0,0,0
2024-08-12,24.48,0,0,0,0,0,0
2024-08-13,26.24,0,1,0,0,0,0
2024-08-14,26.24,0,2,0,0,0,0
2024-08-15,24.64,0,3,0,0,0,0
2024-08-16,23.12,0,4,0,0,0,0
2024-08-17,0.0,1,5,1,1,0,0
2024-08-18,22.48,0,6,1,0,0,0
2024-08-19,27.68,0,0,0,0,0,0
2024-08-20,24.48,0,1,0,0,0,0
2024-08-21,23.84,0,2,0,0,0,0
2024-08-22,21.84,0,3,0,0,0,0
2024-08-23,26.72,0,4,0,0,0,0
2024-08-24,22.8,0,5,1,0,0,0
2024-08-25,23.12,0,6,1,0,0,0
2024-08-26,25.92,0,0,0,0,0,0
2024-08-27,200.0,0,1,0,0,1,1
2024-08-28,26.16,0,2,0,0,0,0
2024-08-29,25.92,0,3,0,0,0,0
2024-08-30,24.48,0,4,0,0,0,0
2024-08-31,25.12,0,5,1,0,0,0
2024-09-01,22.64,0,6,1,0,0,0
2024-09-02,25.92,0,0,0,0,0,0
2024-09-03,0.0,1,1,0,0,0,0
2024-09-04,0.0,1,2,0,0,0,0
2024-09-05,0.0,1,3,0,0,0,0
2024-09-06,26.24,0,4,0,0,0,0
2024-09-07,21.92,0,5,1,0,0,0
2024-09-08,24.64,0,6,1,0,0,0
2024-09-09,27.2,0,0,0,0,0,0
2024-09-10,24.8,0,1,0,0,0,0
2024-09-11,25.36,0,2,0,0,0,0
2024-09-12,26.24,0,3,0,0,0,0
2024-09-13,26.56,0,4,0,0,0,0
2024-09-14,21.92,0,5,1,0,0,0
2024-09-15,26.0,0,6,1,0,0,0
2024-09-16,23.68,0,0,0,0,0,0
2024-09-17,23.36,0,1,0,0,0,0
2024-09-18,22.4,0,2,0,0,0,0
2024-09-19,25.12,0,3,0,0,0,0
2024-09-20,26.16,0,4,0,0,0,0
2024-09-21,27.6,0,5,1,0,0,0
2024-09-22,27.52,0,6,1,0,0,0
2024-09-23,28.0,0,0,0,0,0,0
